Average of phase_2_min_phase_1_ses_1_2_perf,Column Labels,
Row Labels,1,0
9,0.075396825,-0.031746032
10,0.071428571,0.071428571
11,0.032738095,-0.003037613
12,0.036295006,-0.009919944
13,0.06242741,0.004500581
14,0.074782731,0.022954575
15,0.027469768,-0.00159698
16,0.042709323,0.047336133
17,0.033449477,0.015036502
18,0.071428571,
NA,0.193670151,0.095238095
