numerator,denominator,bf10
congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,one
congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,two
congruency + concept_phase_1 + arr_phase_1_name + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,three
congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,4
concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name +     congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,5
congruency + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name +     congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,6
congruency + concept_phase_1 + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,congruency + concept_phase_1 + arr_phase_1_name + congruency:concept_phase_1 + congruency:arr_phase_1_name + concept_phase_1:arr_phase_1_name + congruency:concept_phase_1:arr_phase_1_name,7
